Station ,Elevation 
0,214.2
20,212.5
22,212.5
24,212.5
28,212.7
30,212.6
32,212.3
59.9,209.5
63.9,209.3
67.9,209.5
71.9,210.1
75.9,210.3
79.9,210.1
111.9,207.8
133.9,209.7
157.9,204.1
165.9,203.8
173.8,204
179.8,203.7
187.8,203.2
199.8,203.5
219.8,206.8
221.8,207.5
243.8,208.9
247.8,209.4
253.8,210.1
261.8,209.7
269.8,208.3
277.8,208
285.7,209.1
293.7,209.5
301.7,209.1
309.7,208.9
317.7,209.2
325.7,209.2
333.7,209.5
341.7,209.1
349.7,208
357.7,208
365.7,208
369.7,207.5
373.7,208.2
377.7,209.3
