Station,Evevation
100,425.31
160,405.31
165.15,405.28
169.3,405.24
170.29,405.25
175.43,405
177.61,404.98
178.64,405
180.57,405.01
185.91,405.34
195.99,405.16
206,405.13
206.67,405.13
214.98,405.06
216.55,405.04
219.13,404.89
221.69,404.72
223.28,404.85
225.85,405.15
226.83,405.24
229.97,405.14
231.97,405.04
237.11,404.97
242.25,404.85
244.04,404.95
246.08,405.13
247.39,405.22
252.52,405.31
256.49,405.17
260.65,405
262.8,404.92
267.94,405.09
273.08,405.16
278.22,405.71
283.36,406.13
288.5,406.48
293.64,406.52
298.01,406.41
298.78,406.36
303.92,405.58
306.32,405.64
306.77,405.64
309.06,405.66
310.47,405.6
313.52,405.63
316.39,405.55
318.77,405.49
319.34,405.5
322.92,405.6
324.48,405.62
327.08,405.72
329.62,405.78
334.76,405.85
339.53,405.66
340.49,405.64
343.68,405.5
345.04,405.49
350,405.31
410,425.31
